scope_reason,award_id,piid,operator_raw,operator_relation,naics_code,naics_description,pop_city,pop_state,pop_country,fiscal_year,obligated_amount,description,source_file
not_food_service,CONT_AWD_W912LM14P0008_9700_-NONE-_-NONE-,W912LM14P0008,"COMPASS GROUP USA, INC.",exact,531120,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),CHASKA,MN,USA,2014.0,13386.38,IGF::OT::IGF  MEALS,CompassGroup/Contracts_PrimeAwardSummaries_2026-07-16_H18M44S31_1.csv
not_food_service,CONT_AWD_W912LM18P0046_9700_-NONE-_-NONE-,W912LM18P0046,"COMPASS GROUP USA, INC.",exact,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,CHASKA,MN,USA,2018.0,12809.94,TEEN PANEL&SUMMIT,CompassGroup/Contracts_PrimeAwardSummaries_2026-07-16_H18M44S31_1.csv
not_food_service,CONT_AWD_W912PL08P0046_9700_-NONE-_-NONE-,W912PL08P0046,"SODEXO OPERATIONS, LLC",rename,531120,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),PHOENIX,AZ,USA,2008.0,18680.4,ECI/CMAR CONFERENCE FACILITY,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
not_food_service,CONT_AWD_W9136409P0192_9700_-NONE-_-NONE-,W9136409P0192,SODEXO MANAGEMENT INC.,rename,721110,HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,LEWIS CENTER,OH,USA,2009.0,19642.6,ESGR VENUE,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
not_food_service,CONT_AWD_W9136410P0189_9700_-NONE-_-NONE-,W9136410P0189,SODEXO MANAGEMENT INC.,rename,722212,"CAFETERIAS, GRILL BUFFETS, AND BUFFETS",COLUMBUS,OH,USA,2010.0,78331.27,BREAKFAST AND DINNER MEALS,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
not_food_service,CONT_AWD_W9136414P0135_9700_-NONE-_-NONE-,W9136414P0135,SODEXO AMERICA LLC,rename,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,COLUMBUS,OH,USA,2014.0,3520.0,IGF::OT::IGF   LUNCH MEAL - 27 APR 14,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AEK_9700_SPM50005DBP07_9700,1AEK,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,7428.0,4515436063!SMOKE ALARM 120VAC,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AHV_9700_SPM50005DBP07_9700,1AHV,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,36977.0,4515280901!UNIT CONTAINMENT RO,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AHW_9700_SPM50005DBP07_9700,1AHW,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,4536.0,4515236736!PETROFLAG REFILL RE,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKA_9700_SPM50005DBP07_9700,1AKA,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,14520.0,4515219659!UREA TECHNICAL 50LB,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKB_9700_SPM50005DBP07_9700,1AKB,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,14000.0,4515236732!ICE MELT 50 LBS. BA,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKC_9700_SPM50005DBP07_9700,1AKC,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,66650.0,4515237491!CALCIUM CHLORIDE TE,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKD_9700_SPM50005DBP07_9700,1AKD,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,10587.0,4515299068!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKN_9700_SPM50005DBP07_9700,1AKN,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,3039.0,4515151213!CHAIN LINK FENCE 8&,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKP_9700_SPM50005DBP07_9700,1AKP,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,3055.0,"4515151247!FREON GAS,R-22,50LB",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1AKV_9700_SPM50005DBP07_9700,1AKV,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,15192.0,"4515459112!TRANSFORMER, PAD MO",sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1ALA_9700_SPM50005DBP07_9700,1ALA,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,12462.0,4515299028!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1ALB_9700_SPM50005DBP07_9700,1ALB,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,4183.0,4515435991!PANELBOARD MAIN BRE,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
remote_sites,CONT_AWD_1ALE_9700_SPM50005DBP07_9700,1ALE,SODEXO REMOTE SITES PARTNERSHIP,unknown,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,NEW ORLEANS,LA,USA,2010.0,13234.0,4515299039!TRANSFORME TYPE RAD,sodexo/Contracts_PrimeAwardSummaries_2026-07-14_H17M17S27_1.csv
