venue_id,canonical_name,venue_type,city,city_source,state,lat,lng,opened_date,closed_date,capacity,wikidata_qid,osm_id,spine_source,coord_delta_km,in_scope,name_is_ambiguous,alias_count,dated_alias_count,all_aliases
wd-Q1072882,Citi Field,ballpark,New York,incorporated_places,NY,40.756986,-73.845783,,,41922,Q1072882,way/604023701,wikidata,0.009,True,False,1,0,Citi Field
wd-Q1092220,Cincinnati Gardens,arena,Cincinnati,incorporated_places,OH,39.181111111,-84.455277777,1949-02-22,2018-03-01,10208,Q1092220,,wikidata,,True,False,1,0,Cincinnati Gardens
wd-Q100272042,Snapdragon Stadium,stadium,San Diego,incorporated_places,CA,32.784444444,-117.122833333,2022-01-01,,,Q100272042,way/1092512810,wikidata,0.044,True,False,3,0,Snapdragon Stadium | Aztec Stadium | Bashor Field
wd-Q100313532,Harlingen Municipal Auditorium,arena,Harlingen,incorporated_places,TX,26.1998329,-97.7083206,,,,Q100313532,,wikidata,,True,False,1,0,Harlingen Municipal Auditorium
wd-Q100604545,"Pennsylvania Literary, Scientific, and Military Academy",other,Croydon,census_designated_places,PA,40.08,-74.902222222,,,,Q100604545,,wikidata,,False,True,6,0,"Partridge Military Academy | Partridge's Military Academy | Pennsylvania Literary | Pennsylvania Literary, Scientific and Military Academy | Pennsylvania Literary, Scientific, and Military Academy | Scientific and Military Academy"
wd-Q104860750,CaroMont Health Park,stadium,Gastonia,incorporated_places,NC,35.26238,-81.19503,,,,Q104860750,way/1058004834,wikidata,0.137,True,False,2,0,CaroMont Health Park | FUSE District Stadium
wd-Q104864484,Skeetawk,ski_resort,Fishhook,census_designated_places,AK,61.742666666,-149.230694444,,,,Q104864484,,wikidata,,False,False,1,0,Skeetawk
wd-Q104869739,Ewing Field,ballpark,San Francisco,wikidata_unverified,CA,,,,,,Q104869739,,wikidata,,True,False,1,0,Ewing Field
wd-Q104879743,Fossum Field,ballpark,Aberdeen,incorporated_places,SD,45.47811,-98.434874,,,,Q104879743,,wikidata,,True,False,1,0,Fossum Field
wd-Q104880108,Farris Stadium,stadium,Danville,incorporated_places,KY,37.642755,-84.779751,1923-11-03,,,Q104880108,node/11331208059,wikidata,0.078,True,False,1,0,Farris Stadium
wd-Q10298014,Homewood Mountain Resort,ski_resort,,no_place,CA,39.0827,-120.175,,,,Q10298014,,wikidata,,False,False,1,0,Homewood Mountain Resort
wd-Q10467802,Del Mar Skate Ranch,recreation,San Diego,incorporated_places,CA,32.976388888,-117.252777777,1978-08-01,,,Q10467802,,wikidata,,False,False,2,0,Del Mar Skate Ranch | DMSR
wd-Q10516134,KFC Yum! Center,arena,Louisville,incorporated_places,KY,38.2575,-85.753889,2010-10-10,,22090,Q10516134,way/331282808,wikidata,0.019,True,False,1,0,KFC Yum! Center
wd-Q10538901,Jackson Hole Mountain Resort,ski_resort,Teton Village,census_designated_places,WY,43.5872,-110.825,,,,Q10538901,,wikidata,,False,False,2,0,Jackson Hole Mountain Resort | JHMR
wd-Q10862290,MetLife Stadium,stadium,East Rutherford,incorporated_places,NJ,40.813611111,-74.074444444,,,82500,Q10862290,way/24221553,wikidata,0.013,True,False,6,0,MetLife Stadium | New York Giants Stadium | New York Jets Stadium | New York New Jersey Stadium | New York/New Jersey Stadium | NYNJ Stadium
wd-Q103839064,Zephyr Cove Park Disc Golf Course,golf_course,Skyland,census_designated_places,NV,39.011111111,-119.944805555,1998-01-01,,,Q103839064,,wikidata,,False,False,5,0,Zephyr Cove Park Disc Golf Course | Zephyr Cove | Zephyr Cove DGC | Zephyr Cove Disc Golf Course | Zephyr Cove Park DGC
wd-Q104145728,Bijou Community Park Disc Golf Course,golf_course,South Lake Tahoe,wikidata_unverified,CA,,,,,,Q104145728,,wikidata,,False,False,4,0,Bijou Community Park Disc Golf Course | Bijou Community Park DGC | Bijou DGC | Bijou Disc Golf Course
wd-Q104156398,Dawson Auditorium,arena,Adrian,incorporated_places,MI,41.89679,-84.06207,,,,Q104156398,,wikidata,,True,False,1,0,Dawson Auditorium
wd-Q104156926,Bangor Auditorium,arena,Bangor,incorporated_places,ME,44.78932,-68.77805,,1950-01-01,,Q104156926,,wikidata,,True,False,1,0,Bangor Auditorium
wd-Q104417655,Georgia State Convocation Center,arena,Atlanta,incorporated_places,GA,33.7425,-84.389444444,,,,Q104417655,way/989760078,wikidata,0.07,True,False,2,0,Georgia State Convocation Center | Georgia State Arena
wd-Q104586367,Laney College Football Stadium,stadium,Oakland,incorporated_places,CA,37.7945,-122.2587,,,5500,Q104586367,,wikidata,,True,False,1,0,Laney College Football Stadium
wd-Q104588671,Golden Gate Park Disc Golf Course,golf_course,San Francisco,wikidata_unverified,CA,,,2007-01-01,,,Q104588671,,wikidata,,False,False,5,0,Golden Gate Park Disc Golf Course | Golden Gate | Golden Gate DGC | Golden Gate Disc Golf Course | Golden Gate Park DGC
wd-Q104777255,Stewart Pond Disc Golf Course,golf_course,Eugene,wikidata_unverified,OR,,,,,,Q104777255,,wikidata,,False,False,2,0,Stewart Pond Disc Golf Course | Stewart Pond DGC
wd-Q104804904,The Links at Spanish Bay,golf_course,Del Monte Forest,census_designated_places,CA,36.612920214,-121.944481485,,,,Q104804904,,wikidata,,False,True,1,0,The Links at Spanish Bay
wd-Q104822367,Meridian Speedway,racetrack,Meridian,incorporated_places,ID,43.601944444,-116.390555555,,,,Q104822367,way/160180803,wikidata,0.048,True,False,1,0,Meridian Speedway
wd-Q104825947,Staunton River State Park Disc Golf Course,golf_course,Virginia,wikidata_unverified,VA,,,,,,Q104825947,,wikidata,,False,False,5,0,Staunton River State Park Disc Golf Course | Staunton River DGC | Staunton River Park DGC | Staunton River Park Disc Golf Course | Staunton River State Park DGC
wd-Q104843125,OU Softball Complex,stadium,Norman,incorporated_places,OK,35.195,-97.441944444,1998-01-01,,1378,Q104843125,,wikidata,,True,False,1,0,OU Softball Complex
