venue_id,canonical_name,venue_type,city,city_source,state,lat,lng,opened_date,closed_date,capacity,wikidata_qid,osm_id,spine_source,coord_delta_km,in_scope,name_is_ambiguous,alias_count,dated_alias_count,all_aliases
wd-Q1144284,Allen County War Memorial Coliseum,other,Fort Wayne,incorporated_places,IN,41.115556,-85.124444,1952-09-28,,10480,Q1144284,,wikidata,,True,False,1,0,Allen County War Memorial Coliseum
wd-Q1145169,HemisFair Arena,arena,San Antonio,incorporated_places,TX,29.420134,-98.483299,1968-04-06,1995-06-01,16057,Q1145169,,wikidata,,True,False,3,0,HemisFair Arena | Convention Center Arena | San Antonio Convention Center Arena
wd-Q1147732,Oakland Coliseum,stadium,Oakland,incorporated_places,CA,37.751666666,-122.200555555,1966-09-18,,35067,Q1147732,way/23426664,wikidata,0.007,True,False,8,0,Oakland Coliseum | McAfee Coliseum | Network Associates Coliseum | O.co Coliseum | Oakland-Alameda County Coliseum | Oakland–Alameda County Coliseum | Overstock.com Coliseum | RingCentral Coliseum
wd-Q1150936,Turner Field,other,Atlanta,incorporated_places,GA,33.735277777,-84.389444444,,,49586,Q1150936,relation/3421244,wikidata,0.028,True,True,1,0,Turner Field
wd-Q1151177,PNC Park,ballpark,Pittsburgh,incorporated_places,PA,40.446944444,-80.005833333,,,37898,Q1151177,way/24722803,wikidata,0.01,True,False,1,0,PNC Park
wd-Q1154053,Progressive Field,ballpark,Cleveland,incorporated_places,OH,41.495833333,-81.685277777,,,42865,Q1154053,way/25312466,wikidata,0.023,True,False,3,0,Progressive Field | Jacobs Field | The Jake
wd-Q1156635,Target Field,ballpark,Minneapolis,incorporated_places,MN,44.981667,-93.278333,,,39504,Q1156635,relation/6133680,wikidata,0.036,True,False,1,0,Target Field
wd-Q11326790,Hollywood Park Racetrack,racetrack,Inglewood,incorporated_places,CA,33.949858333,-118.337780555,,,,Q11326790,,wikidata,,True,False,1,0,Hollywood Park Racetrack
wd-Q11335096,Braves Field,ballpark,Boston,incorporated_places,MA,42.353333333,-71.119166666,1915-08-18,1955-01-01,40000,Q11335096,,wikidata,,True,True,4,0,Braves Field | National League Park | The Bee Hive | The Wigwam
wd-Q11350605,Robison Field,ballpark,St. Louis,incorporated_places,MO,38.662777777,-90.222222222,,,14500,Q11350605,,wikidata,,True,False,1,0,Robison Field
wd-Q11351145,Lone Star Park,racetrack,Grand Prairie,incorporated_places,TX,32.7736,-96.9864,,,,Q11351145,,wikidata,,True,False,1,0,Lone Star Park
wd-Q11703509,Nichols Hall,arena,Manhattan,incorporated_places,KS,39.1866,-96.5808,1911-01-01,,,Q11703509,,wikidata,,True,True,1,0,Nichols Hall
wd-Q11774355,Tennis Center at Crandon Park,other,,no_place,FL,25.708056,-80.158889,1994-01-01,,13300,Q11774355,,wikidata,,True,False,1,0,Tennis Center at Crandon Park
wd-Q109564867,Russian Jack Springs Golf Course,golf_course,Anchorage,incorporated_places,AK,61.2061287,-149.788871787,,,,Q109564867,,wikidata,,False,False,1,0,Russian Jack Springs Golf Course
wd-Q109564868,Sea Mountain Golf Course,golf_course,Sitka,incorporated_places,AK,57.102379258,-135.394234167,,,,Q109564868,,wikidata,,False,False,1,0,Sea Mountain Golf Course
wd-Q109564869,Settlers Bay Golf Course,golf_course,Knik-Fairview,census_designated_places,AK,61.5048978,-149.6018569,,,,Q109564869,,wikidata,,False,False,1,0,Settlers Bay Golf Course
wd-Q109564870,Sleepy Hollow Golf Course,golf_course,Wasilla,wikidata_unverified,AK,,,,,,Q109564870,,wikidata,,False,False,1,0,Sleepy Hollow Golf Course
wd-Q109564871,Tanglewood Lakes Golf Club,golf_course,Anchorage,wikidata_unverified,AK,,,,,,Q109564871,,wikidata,,False,False,1,0,Tanglewood Lakes Golf Club
wd-Q109564872,Valley of the Eagles Golf Links,golf_course,Haines,wikidata_unverified,AK,,,,,,Q109564872,,wikidata,,False,False,1,0,Valley of the Eagles Golf Links
wd-Q109701410,Phyllis Ocker Field,arena,Ann Arbor,incorporated_places,MI,42.267777777,-83.741027777,1995-09-08,,,Q109701410,,wikidata,,True,False,1,0,Phyllis Ocker Field
wd-Q109767707,Don Johnson Tennis Courts,other,San Jose,incorporated_places,CA,37.352777777,-121.885,,,,Q109767707,way/25966785,wikidata,0.016,False,False,1,0,Don Johnson Tennis Courts
wd-Q109868541,Willie Pep Skatepark,recreation,Middletown,wikidata_unverified,CT,,,,,,Q109868541,,wikidata,,False,False,1,0,Willie Pep Skatepark
wd-Q110091473,Brooks Memorial Skatepark,recreation,Stafford County,wikidata_unverified,VA,,,,,,Q110091473,,wikidata,,False,False,1,0,Brooks Memorial Skatepark
wd-Q110091491,Northside Skatepark,recreation,Q49231,wikidata_unverified,VA,,,,,,Q110091491,,wikidata,,False,False,2,0,Northside Skatepark | Northside Skate Park
wd-Q110143617,Substance Skatepark,arena,New York,incorporated_places,NY,40.709444358,-73.93548513,,,,Q110143617,,wikidata,,True,False,2,0,"Substance Skatepark | Substance, Subbi"
wd-Q110143830,Betsy Head Skatepark,recreation,New York,incorporated_places,NY,40.66494463,-73.911708584,,,,Q110143830,,wikidata,,False,False,4,0,"Betsy Head Skatepark | Betsy Head | Betsy Head Skate Park | Betsy Head, Betsy Head Skate Park"
wd-Q110143868,Astoria Skatepark,recreation,Queens County,wikidata_unverified,NY,,,,,,Q110143868,,wikidata,,False,False,4,0,"Astoria Skatepark | Astoria Skate Park | Astoria Skate Park, Astoria Skate Plaza | Astoria Skate Plaza"
wd-Q110144989,Cooper Park Skatepark,recreation,Kings County,wikidata_unverified,NY,,,,,,Q110144989,,wikidata,,False,False,4,0,"Cooper Park Skatepark | Cooper | Cooper Park Skate Park | Cooper Park Skate Park, Cooper"
wd-Q110145199,McCarren Park Skatepark,recreation,Kings County,wikidata_unverified,NY,,,,,,Q110145199,,wikidata,,False,False,5,0,"McCarren Park Skatepark | McCarren | McCarren Park Skate Park | McCarren Skatepark | McCarren, McCarren Skatepark, McCarren Park Skate Park"
wd-Q110145366,Brower Park Skatepark,recreation,Kings County,wikidata_unverified,NY,,,,,,Q110145366,,wikidata,,False,False,5,0,"Brower Park Skatepark | Brower | Brower Park Skate Park | Brower Park Skate Park, Brower, Brower Skatepark | Brower Skatepark"
wd-Q110145493,Canarsie Park Skatepark,recreation,New York,incorporated_places,NY,40.625803523,-73.900537267,,,,Q110145493,,wikidata,,False,False,4,0,Canarsie Park Skatepark | Canarsie Park Skate Park | Canarsie Skate Park | Canarsie Skatepark
wd-Q111645205,Camp William B. Snyder,other,,no_place,VA,38.82972,-77.665459,,,,Q111645205,,wikidata,,False,False,2,0,Camp William B. Snyder | Camp Snyder
wd-Q111649861,Coosa Country Club Golf Course,golf_course,Rome,incorporated_places,GA,34.256002456,-85.182949643,,,,Q111649861,,wikidata,,False,False,1,0,Coosa Country Club Golf Course
wd-Q111703548,Scudamore Field,stadium,Highland Heights,incorporated_places,KY,39.032222222,-84.456944444,,,,Q111703548,,wikidata,,True,True,2,0,Scudamore Field | NKU Soccer Stadium
wd-Q111725549,Tamarack Country Club,golf_course,,no_place,CT,41.0939345,-73.7096926,,,,Q111725549,,wikidata,,False,False,1,0,Tamarack Country Club
wd-Q111730470,Barbara Hibner Soccer Stadium,stadium,Lincoln,incorporated_places,NE,40.8378,-96.7,,,,Q111730470,,wikidata,,True,False,3,0,Barbara Hibner Soccer Stadium | Hibner Soccer Stadium | Hibner Stadium
wd-Q111941065,Vinton Street Park,ballpark,Omaha,incorporated_places,NE,41.235555555,-95.935277777,,,,Q111941065,,wikidata,,True,False,2,0,Vinton Street Park | Western Leagues Baseball Park
wd-Q112030149,FAU Soccer Stadium,stadium,Boca Raton,incorporated_places,FL,26.3705,-80.1119,,,,Q112030149,,wikidata,,True,False,2,0,FAU Soccer Stadium | Florida Atlantic soccer stadium
wd-Q112147131,Chinatown Manpower Project,recreation,Chinatown,wikidata_unverified,NY,,,1972-01-01,,,Q112147131,,wikidata,,False,False,2,0,Chinatown Manpower Project | CMP
wd-Q112181331,Chill Hill,other,,no_place,OH,39.364166666,-84.362222222,,,,Q112181331,,wikidata,,False,False,2,0,Chill Hill | Chill Hill Sledding Hill
wd-Q112620308,AdventHealth Arena,arena,,no_place,FL,28.338611111,-81.553888888,,,8000,Q112620308,,wikidata,,True,False,3,0,AdventHealth Arena | AdventHealth Arena at ESPN Wide World of Sports Complex | The Arena
wd-Q112648412,TechCU Arena,arena,San Jose,incorporated_places,CA,37.319305555,-121.864055555,2022-08-24,,,Q112648412,way/1097610216,wikidata,0.093,True,False,2,0,TechCU Arena | Tech CU Arena
wd-Q112671552,YMCA May Building,arena,Huntington,wikidata_unverified,WV,,,,,,Q112671552,,wikidata,,True,False,1,0,YMCA May Building
wd-Q112853510,Double V Scout Ranch,other,Drexel Heights,census_designated_places,AZ,32.177894,-111.0779855,,,,Q112853510,,wikidata,,False,False,1,0,Double V Scout Ranch
wd-Q112854097,Camp Lawton,other,,no_place,AZ,32.408560038,-110.716210813,,,,Q112854097,,wikidata,,False,False,1,0,Camp Lawton
wd-Q112865292,Huron Meadows Golf Course,golf_course,,no_place,MI,42.492,-83.775,,,,Q112865292,,wikidata,,False,False,1,0,Huron Meadows Golf Course
wd-Q113009357,Knight's Action Park,aquatic_center,Springfield,incorporated_places,IL,39.74039,-89.683937,,,,Q113009357,,wikidata,,False,False,1,0,Knight's Action Park
wd-Q113016530,University of Texas Rio Grande Valley Department of Military Science,other,Edinburg,incorporated_places,TX,26.310794582,-98.174422203,,,,Q113016530,,wikidata,,False,True,7,0,"University of Texas Rio Grande Valley Department of Military Science | Department of Military Science | Department of Military Science, University of Texas Rio Grande Valley | ROTC - Department of Military Science | UTRGV Department of Military Science | UTRGV ROTC | University of Texas Rio Grande Valley"
wd-Q113018313,Chamberlain Ball Park,ballpark,Springfield,incorporated_places,IL,39.79915418,-89.628641733,,,,Q113018313,,wikidata,,True,False,1,0,Chamberlain Ball Park
wd-Q113018364,Robin Roberts Stadium,stadium,Springfield,incorporated_places,IL,39.817429686,-89.635940893,1925-01-01,,5200,Q113018364,way/124774731,wikidata,0.046,True,False,2,0,Robin Roberts Stadium | Reservoir Stadium
wd-Q113057908,Velasco Tennis Center,other,Springfield,incorporated_places,IL,39.788295075,-89.677522055,,,,Q113057908,node/9886013151,wikidata,0.001,False,False,1,0,Velasco Tennis Center
wd-Q113062458,Pasfield Golf Course,golf_course,Springfield,incorporated_places,IL,39.792537068,-89.68425941,1898-01-01,,,Q113062458,,wikidata,,False,False,1,0,Pasfield Golf Course
wd-Q113063844,Spartan Sports Park,other,Chatham,incorporated_places,IL,39.695210108,-89.679101433,,,,Q113063844,,wikidata,,False,False,1,0,Spartan Sports Park
wd-Q113065447,Skank Skates International,recreation,Springfield,incorporated_places,IL,39.787359836,-89.640908876,1988-11-01,,,Q113065447,node/10065420930,wikidata,0.001,False,False,1,0,Skank Skates International
wd-Q113112116,Las Vegas Strip Circuit,racetrack,Paradise,census_designated_places,NV,36.110027777,-115.161805555,,,,Q113112116,,wikidata,,True,False,1,0,Las Vegas Strip Circuit
wd-Q113143820,Elkwood Park,racetrack,Long Branch,wikidata_unverified,NJ,,,,,,Q113143820,,wikidata,,True,False,1,0,Elkwood Park
wd-Q113363314,Shady Rest Golf and Country Club,golf_course,,no_place,NJ,40.656111111,-74.3725,1921-01-01,,,Q113363314,,wikidata,,False,False,4,0,Shady Rest Golf and Country Club | Ephraim Tucker Farmhouse | Shady Rest Country Club | Westfield Country Club
wd-Q113369113,Champlin's Marina,recreation,,no_place,RI,41.1843,-71.58144,,,,Q113369113,,wikidata,,False,False,3,0,Champlin's Marina | Block Island Ferry Terminal | New Harbor Ferry Terminal
wd-Q110227430,"Parade Ground (Flatbush, Brooklyn)",ballpark,New York,incorporated_places,NY,40.65154465,-73.9668268,,,,Q110227430,,wikidata,,True,False,5,0,"Parade Ground (Flatbush, Brooklyn) | Parade Ground | Parade Ground, Parade Grounds, Prospect Park Parade Ground | Parade Grounds | Prospect Park Parade Ground"
wd-Q110281256,Sidney J. Watson Arena,arena,Brunswick,census_designated_places,ME,43.902538888,-69.95875,,,,Q110281256,,wikidata,,True,False,3,0,Sidney J. Watson Arena | Sidney Watson Arena | Watson Arena
wd-Q110412636,Comanche Skate Park,recreation,Fort Cavazos,census_designated_places,TX,31.135847268,-97.821632927,,,,Q110412636,,wikidata,,False,False,2,0,Comanche Skate Park | Comanche Skatepark
wd-Q110412683,Abrams Skate Park,recreation,Fort Cavazos,census_designated_places,TX,31.13729607,-97.775561833,,,,Q110412683,,wikidata,,False,False,2,0,Abrams Skate Park | Abrams Skatepark
wd-Q110412711,Bronco Skate Park,recreation,Fort Cavazos,census_designated_places,TX,31.131406816,-97.751946766,,,,Q110412711,,wikidata,,False,False,2,0,Bronco Skate Park | Bronco Skatepark
wd-Q110541208,Brickyard Crossing,golf_course,Speedway,incorporated_places,IN,39.788452065,-86.229832091,,,,Q110541208,,wikidata,,False,False,1,0,Brickyard Crossing
wd-Q110721049,Arrillaga Center for Sports and Recreation,recreation,Stanford,census_designated_places,CA,37.43,-122.163888888,,,,Q110721049,way/232805668,wikidata,0.008,False,False,4,0,Arrillaga Center for Sports and Recreation | ACSR | Arrillaga Center | Nearrillaga
wd-Q110721075,Arrillaga Outdoor Education and Recreation Center,recreation,Stanford,census_designated_places,CA,37.426666666,-122.1775,2013-01-01,,,Q110721075,way/255490604,wikidata,0.009,False,False,3,0,Arrillaga Outdoor Education and Recreation Center | AOERC | Farrillaga
wd-Q110740701,John L. DiMarco Field,stadium,Brighton,wikidata_unverified,NY,,,,,,Q110740701,,wikidata,,True,False,2,0,John L. DiMarco Field | DiMarco Field
wd-Q110811312,Foster Pavilion,arena,Waco,incorporated_places,TX,31.556698333,-97.121613333,2024-01-01,,,Q110811312,,wikidata,,True,False,1,0,Foster Pavilion
wd-Q110817241,Gordon Field House and Activities Center,other,Rochester Institute of Technology,census_designated_places,NY,43.0851,-77.6716,2004-01-01,,,Q110817241,,wikidata,,False,False,2,0,Gordon Field House and Activities Center | Gordon Field House
wd-Q110819599,Fauver Stadium,stadium,Rochester,wikidata_unverified,NY,,,,,5111,Q110819599,,wikidata,,True,False,2,0,Fauver Stadium | Edwin Fauver Stadium
wd-Q110932948,Clark Gymnasium,recreation,Henrietta,wikidata_unverified,NY,,,,,1800,Q110932948,,wikidata,,False,False,4,0,Clark Gymnasium | Clark Gym | George H. Clark Gymnasium | George H. Clark Memorial Gym
wd-Q110978899,F&M Bank Arena,arena,Clarksville,incorporated_places,TN,36.529444444,-87.359722222,2023-07-01,,,Q110978899,,wikidata,,True,False,1,0,F&M Bank Arena
wd-Q110991182,Lincoln City Skatepark,recreation,Lincoln City,wikidata_unverified,OR,,,,,,Q110991182,,wikidata,,False,False,1,0,Lincoln City Skatepark
wd-Q111017690,NKU Soccer Stadium,stadium,Highland Heights,incorporated_places,KY,39.0322523,-84.456999,2010-01-01,,1000,Q111017690,,wikidata,,True,True,1,0,NKU Soccer Stadium
wd-Q111169373,Mullett Arena,arena,Tempe,incorporated_places,AZ,33.426666666,-111.928611111,2022-10-12,,,Q111169373,,wikidata,,True,False,2,0,Mullett Arena | ASU Multi-Purpose Arena
wd-Q111170269,Renner Ball Park,ballpark,,no_place,SD,43.646944444,-96.727222222,1921-01-01,,,Q111170269,,wikidata,,True,False,1,0,Renner Ball Park
wd-Q111170501,Anderson Stadium,stadium,Austin,incorporated_places,TX,30.27,-97.71,1953-01-01,,,Q111170501,,wikidata,,True,True,2,0,Anderson Stadium | Yellow Jacket Stadium
wd-Q111226216,Thomas Jefferson Pool,aquatic_center,New York,incorporated_places,NY,40.793369272,-73.936011121,,,,Q111226216,,wikidata,,False,False,1,0,Thomas Jefferson Pool
wd-Q111325663,Don Drumm Stadium,other,Marietta,incorporated_places,OH,39.413,-81.445,1934-01-01,,5000,Q111325663,way/457036330,wikidata,0.031,True,False,1,0,Don Drumm Stadium
wd-Q111346188,Marietta Aquatic Center,aquatic_center,Marietta,incorporated_places,OH,39.4349,-81.4671,,,,Q111346188,,wikidata,,False,False,1,0,Marietta Aquatic Center
wd-Q111521785,Horst Athletic Center,arena,,no_place,PA,40.075588,-76.289186,1975-01-01,,655,Q111521785,,wikidata,,True,False,1,0,Horst Athletic Center
wd-Q111562898,Sunset Fields Golf Club,golf_course,Los Angeles,incorporated_places,CA,34.006801,-118.33989,,,,Q111562898,,wikidata,,False,False,1,0,Sunset Fields Golf Club
wd-Q114732708,Kalamazoo city park,recreation,Kalamazoo,incorporated_places,MI,42.283182,-85.577195,2022-10-12,,,Q114732708,,wikidata,,False,False,1,0,Kalamazoo city park
wd-Q114957771,Chevy Chase Club,golf_course,Chevy Chase Village,incorporated_places,MD,38.975555555,-77.077222222,1892-01-01,,,Q114957771,,wikidata,,False,False,4,0,"Chevy Chase Club | Chevy Chase Club Inc | Chevy Chase Club, Inc. | Chevy Chase Country Club"
wd-Q115017124,Allen P. Dudley Bandshell,other,Findlay,wikidata_unverified,OH,,,,,,Q115017124,,wikidata,,False,False,2,0,Allen P. Dudley Bandshell | Riverside Park Bandshell
wd-Q115022441,Miracle Park of Findlay,ballpark,Findlay,wikidata_unverified,OH,,,,,,Q115022441,,wikidata,,True,False,1,0,Miracle Park of Findlay
wd-Q115022677,The Marathon Diamonds,ballpark,Findlay,wikidata_unverified,OH,,,,,,Q115022677,,wikidata,,True,False,1,0,The Marathon Diamonds
wd-Q115244978,Dylan Duncan Memorial Skatepark,recreation,Houston,incorporated_places,TX,30.054122,-95.187601,,,,Q115244978,,wikidata,,False,False,6,0,Dylan Duncan Memorial Skatepark | Dylan Duncan Memorial Skate Park | Dylan Duncan Skate park | Dylan Duncan Skatepark | Kingwood Skate Park | Kingwood Skatepark
wd-Q115246440,Diez Street Park,other,Houston,incorporated_places,TX,29.729489,-95.332886,,,,Q115246440,way/364717473,wikidata,0.0,False,False,1,0,Diez Street Park
wd-Q115284691,Ivan ‘Pudge' Rodríguez Field,ballpark,Annandale,census_designated_places,VA,38.83595,-77.17245,,,,Q115284691,,wikidata,,True,False,1,0,Ivan ‘Pudge' Rodríguez Field
wd-Q115475329,Flipper's Roller Boogie Palace,other,Manhattan,wikidata_unverified,NY,,,2022-04-01,,,Q115475329,,wikidata,,False,False,1,0,Flipper's Roller Boogie Palace
wd-Q115528726,Wilmington Country Club,golf_course,,no_place,DE,39.797068806,-75.597076705,1901-01-01,,,Q115528726,,wikidata,,False,False,1,0,Wilmington Country Club
wd-Q115628848,Prospect Park Tennis Center,other,New York,incorporated_places,NY,40.651494683,-73.969919309,,,,Q115628848,,wikidata,,False,False,1,0,Prospect Park Tennis Center
wd-Q115633274,Culver Field II,other,Rochester,incorporated_places,NY,43.15464,-77.576033,,1908-01-01,,Q115633274,,wikidata,,False,True,3,0,Culver Field II | Culver Field | Culver Park Grounds
wd-Q115635626,Eclipse Park II,other,Louisville,incorporated_places,KY,38.251633,-85.79887,,1899-01-01,,Q115635626,,wikidata,,False,True,3,0,Eclipse Park II | Eclipse Park | League Park
wd-Q115640874,South End Grounds II,other,Boston,incorporated_places,MA,42.336836,-71.087769,,1894-05-15,6800,Q115640874,,wikidata,,True,True,7,0,South End Grounds II | Boston Baseball Grounds | Grand Pavilion | South End Grounds | Union Baseball Grounds | Walpole Street Grounds | Walpole Street Grounds II
wd-Q115641009,South End Grounds III,other,Boston,incorporated_places,MA,42.336859,-71.087692,,1914-01-01,5000,Q115641009,,wikidata,,True,True,3,0,South End Grounds III | South End Grounds | South Side Grounds
wd-Q115648260,Star Park II,other,Syracuse,incorporated_places,NY,43.039494,-76.151866,,,,Q115648260,,wikidata,,False,True,2,0,Star Park II | Star Park
wd-Q115648792,Washington Park II,other,New York,incorporated_places,NY,40.672685,-73.985006,,1892-04-01,,Q115648792,,wikidata,,False,True,2,0,Washington Park II | Washington Park
wd-Q115650862,Washington Park III,other,New York,incorporated_places,NY,40.675,-73.986111,1898-03-24,1912-01-01,18800,Q115650862,,wikidata,,True,True,3,0,Washington Park III | Ebbets Field | Washington Park
wd-Q115651328,Washington Park IV,other,New York,incorporated_places,NY,40.675,-73.956111,1914-01-01,1926-01-01,,Q115651328,,wikidata,,False,True,3,0,Washington Park IV | Ebbets Field | Washington Park
wd-Q115682974,West Side Grounds,other,Chicago,incorporated_places,IL,41.870218,-87.67251,,1920-01-01,16000,Q115682974,,wikidata,,True,False,2,0,West Side Grounds | West Side Park II
wd-Q115683903,Dornblaser Field II,stadium,Missoula,incorporated_places,MT,46.845256752,-113.996890853,,,12500,Q115683903,,wikidata,,True,True,3,0,Dornblaser Field II | Dornblaser Field | Dornblaser-Lewis-Clark Stadium
wd-Q115701919,Lake Front Park,other,Chicago,incorporated_places,IL,41.883641,-87.623245,,1885-01-01,10000,Q115701919,,wikidata,,True,True,5,0,Lake Front Park | Lake Front Park II | Lake Park | Lakeshore Park | White Stocking Park
wd-Q115802854,Le Triomphe Golf Club,golf_course,,no_place,LA,30.093333333,-91.945,,,,Q115802854,,wikidata,,False,False,1,0,Le Triomphe Golf Club
wd-Q115804542,New Nissan Stadium,stadium,Nashville-Davidson metropolitan government (balance),incorporated_places,TN,36.167722222,-86.768055555,2026-01-01,,,Q115804542,,wikidata,,True,False,1,0,New Nissan Stadium
wd-Q115862595,Triangle Badminton & Table Tennis,other,Morrisville,incorporated_places,NC,35.845696503,-78.833502357,,,,Q115862595,,wikidata,,False,False,1,0,Triangle Badminton & Table Tennis
wd-Q115865827,Paul L. McDermott Rink,arena,New York,incorporated_places,NY,40.782678381,-73.94459372,,,,Q115865827,,wikidata,,True,False,1,0,Paul L. McDermott Rink
wd-Q115920239,C.V. Starr Community Center,aquatic_center,Fort Bragg,incorporated_places,CA,39.43913,-123.79425,2006-01-01,,,Q115920239,,wikidata,,False,False,5,0,C.V. Starr Community Center | C.V. Starr Center | C.V. Starr Community Center and Sigrid and Harry Spath Aquatic Facility | Sigrid and Harry Spath Aquatic Facility | Spath Aquatic Center
wd-Q116007085,Old Oval,other,Syracuse,incorporated_places,NY,43.037611111,-76.134,1895-06-08,1929-01-01,,Q116007085,,wikidata,,False,False,1,0,Old Oval
wd-Q116279774,Alpine Valley,ski_resort,Alpine County,wikidata_unverified,CA,,,,,,Q116279774,,wikidata,,False,False,1,0,Alpine Valley
wd-Q114245297,The Cube,arena,Findlay,wikidata_unverified,OH,,,1974-01-01,,,Q114245297,,wikidata,,True,False,1,0,The Cube
wd-Q114289536,Corner Ballpark,ballpark,Detroit,incorporated_places,MI,42.331944444,-83.068888888,2018-03-24,,,Q114289536,,wikidata,,True,False,1,0,Corner Ballpark
wd-Q114653795,Hurricane Bay,aquatic_center,Kentucky,wikidata_unverified,KY,,,,,,Q114653795,,wikidata,,False,False,1,0,Hurricane Bay
wd-Q115046013,Harris Hill Raceway,racetrack,,no_place,TX,29.918,-97.87243,2008-06-01,,,Q115046013,,wikidata,,True,False,3,0,Harris Hill Raceway | H2R | Harris Hill Road
wd-Q115152806,Optim Sports Medicine Field,stadium,Statesboro,incorporated_places,GA,32.409722222,-81.796111111,2022-10-02,,,Q115152806,,wikidata,,True,False,1,0,Optim Sports Medicine Field
wd-Q113453211,William Hall Walker Gymnasium,arena,Hoboken,incorporated_places,NJ,40.743782,-74.025788,1910-01-01,,,Q113453211,,wikidata,,True,False,1,0,William Hall Walker Gymnasium
wd-Q113633938,SAP Performance Facility,recreation,Santa Clara,incorporated_places,CA,37.403333333,-121.966666666,2003-01-01,,,Q113633938,way/85247929,wikidata,0.01,False,False,3,0,SAP Performance Facility | Marie P. DeBartolo Sports Centre | 49ers training facility
wd-Q113711965,The International Golf Club,golf_course,,no_place,MA,42.4329,-71.6519,,,,Q113711965,,wikidata,,False,False,2,0,The International Golf Club | The International
wd-Q113993925,GSU Soccer Complex,other,Grambling,wikidata_unverified,LA,,,,,2000,Q113993925,,wikidata,,False,False,1,0,GSU Soccer Complex
wd-Q113997373,Six Flags Hurricane Harbor Chicago,aquatic_center,Gurnee,incorporated_places,IL,42.368028,-87.938889,,,,Q113997373,,wikidata,,False,True,3,0,Hurricane Harbor Chicago | Six Flags Hurricane Harbor | Six Flags Hurricane Harbor Chicago
wd-Q116204881,Howard Pool,aquatic_center,Kings County,wikidata_unverified,NY,,,,,,Q116204881,,wikidata,,False,False,1,0,Howard Pool
wd-Q116384215,Rev. T. Wendell Foster Skatepark,recreation,New York,incorporated_places,NY,40.83114811,-73.92439074,,,,Q116384215,,wikidata,,False,False,4,0,Rev. T. Wendell Foster Skatepark | Mullaly | Mullaly Skate Park | Mullaly Skatepark
wd-Q116475027,Percy Field,other,Ithaca,incorporated_places,NY,42.455308199,-76.497802248,1890-01-01,1914-01-01,,Q116475027,,wikidata,,False,False,1,0,Percy Field
wd-Q116579634,MotorSport Ranch,racetrack,Cresson,incorporated_places,TX,32.523841,-97.616624,1999-07-01,,,Q116579634,way/950222428,wikidata,0.072,True,False,3,0,MotorSport Ranch | MSR | MotorSport Ranch Cresson
wd-Q116619972,Eagles Canyon Raceway,racetrack,,no_place,TX,33.366921,-97.427176,2007-11-01,,,Q116619972,way/1054535630,wikidata,0.421,True,False,2,0,Eagles Canyon Raceway | ECR
wd-Q116681734,The Oaks Golf Course,golf_course,,no_place,IL,39.8183946,-89.556198338,1926-01-01,,,Q116681734,,wikidata,,False,True,1,0,The Oaks Golf Course
wd-Q116685668,Fred Wells Tennis & Education Center,other,,no_place,MN,44.892829655,-93.194297827,,,,Q116685668,,wikidata,,False,False,2,0,Fred Wells Tennis & Education Center | Fort Snelling Tennis & Learning Center
wd-Q116698386,Driveway Austin,racetrack,Austin,incorporated_places,TX,30.263343,-97.656759,2005-09-01,,,Q116698386,,wikidata,,True,False,2,0,Driveway Austin | The Driveway
wd-Q116732427,Orange County National Golf Center and Lodge,golf_course,Horizon West,census_designated_places,CA,28.445523,-81.625626,,,,Q116732427,,wikidata,,False,False,2,0,Orange County National Golf Center and Lodge | Orange County National Golf Center
wd-Q116769221,San Antonio street circuit,racetrack,San Antonio,incorporated_places,TX,29.422427777,-98.485380555,,,,Q116769221,,wikidata,,True,False,1,0,San Antonio street circuit
wd-Q116853819,Six Flags Hurricane Harbor Arlington,aquatic_center,Arlington,incorporated_places,TX,32.762,-97.079,,,,Q116853819,,wikidata,,False,True,4,0,Six Flags Hurricane Harbor Arlington | Hurricane Harbor Arlington | Six Flags Hurricane Harbor | Wet 'n Wild
wd-Q117019568,Shilshole Bay Marina,recreation,Seattle,incorporated_places,WA,47.675833333,-122.412777777,,,,Q117019568,,wikidata,,False,False,1,0,Shilshole Bay Marina
wd-Q117060114,"Liberty Arena, Home of the Screaming Eagles",arena,,no_place,IN,37.96178307,-87.674158701,,,,Q117060114,,wikidata,,True,True,3,0,"Liberty Arena, Home of the Screaming Eagles | Screaming Eagles Arena | USI Physical Activities Center"
wd-Q117150959,Balboa Park Activity Center,other,San Diego,incorporated_places,CA,32.726752837,-117.14768389,,,,Q117150959,,wikidata,,False,False,1,0,Balboa Park Activity Center
wd-Q117328119,Soka Performing Arts Center,amphitheater,Aliso Viejo,wikidata_unverified,CA,,,2011-05-27,,,Q117328119,,wikidata,,True,False,1,0,Soka Performing Arts Center
wd-Q117456297,Fred Keller Field,ballpark,Lisbon,incorporated_places,WI,43.14939,-88.2414,,,,Q117456297,,wikidata,,True,False,1,0,Fred Keller Field
wd-Q117460472,Stargel Stadium,stadium,Cincinnati,incorporated_places,OH,39.10825,-84.52422,2019-01-01,,3000,Q117460472,way/332810025,wikidata,0.01,True,True,4,0,Stargel Stadium | New Stargel Stadium | Stargel Stadium (2019) | Willard R. Stargel Stadium
